id	title	title_source	start	end	title_uri	ccodes	variants	types	aat_types	matches	parent_name	geowkt	geo_source	geo_id	description
amh_16c	Batavia, kasteel	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Batavia-kasteel.16c		kasteel Batavia	fortification	300006888	http://www.wikidata.org/entity/Q2586938		POINT(106.811354 -6.127672)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Batavia-kasteel.16c	Locality associated with Dutch East India Company. 
amh_8772c	Batavia, stadsmuur van	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1623	1830	https://www.atlasofmutualheritage.nl/en/Batavia-city-wall-of.8772c		stadsmuur van Batavia	city wall	300005072	http://www.wikidata.org/entity/Q104534226		POINT(106.80903 -6.12741)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Batavia-city-wall-of.8772c	Locality associated with Dutch East India Company. In 1632 Governor General Hendrik Brouwer started construction of a wall with bastions, to protect Batavia against an attack. The wall made of coral stone replaced the earthen wall at the east side of the city (1623) and the redoubts which were built after the sieges of 1628 and 1629. The bastions not only protected against an attack from outside, but their location opposite of the main streets also made it possible to repress a rebellion inside the city. The fear of a rebellion was also the reason that there was not only a moat at the outside of the wall but also a moat at the side of the city. The caste protected the north east side of the city. A wall was built between the southeast bastion of the castle (Robijn) and the first bastion of the city wall (Amsterdam). The names of the bastions and main gates (Poort) at the east side of the city wall were: Amsterdam-Middelburg-Delft – Rotterdamse Poort gate (Pintu Antjol) - Rotterdam, Hoorn, Enkhuizen, Vianen – Gelderland - Catzenellenbogen - Oranje- Nieuwpoort (Pintu Besar) and Hollandia. The last bastion, Grimbergen, protected the bridge across the Kali Besar. When in 1640 the wall along the river between Hollandia and Grimbergen was finished, the defenses of the eastern part of the city were complete. The construction of the city wall at the west side of the city took more time. The moat was dug, but it was not before 1645 till the last part of the wall between the bastions Zeeland and Groningen was built. West of the river were the bastions Diest Poort (Pintu Kecil)- Nassau- Zeeland- Utrechtse Poort - (West-) Friesland - 0verijssel-Groningen- Zeeburg and Culemborg. The finishing touch was the floating beam which closed the river during the night. The castle stood at the other site of the river. The only attack on the city took place in October 1740. Chinese rebels stormed the Diest Poort but were repulsed by the soldiers on the wall. After the rebellion a hornwork was built before this bastion. In the 18th century several proposals were made to modernize the city wall, which was old-fashioned. These were never realized because they were too expensive. At the end of the 18th century the wall offered no more protection against an attack. The only function of the gates was to control the in- and outgoing traffic. In 1803 the doors of the gates were removed. The wall and gates were demolished between 1810 and 1815. Today only a part of the eastern wall between the (demolished) bastion Groningen and bastion Zeeburg and from there till bastion Culemborg still exists. The watch tower which was built inside bastion Culemborg around 1830 was not part of the defense works, but was built as an observation post for the weather and incoming ships. Both the bastion and the tower can still be visited. There are no remains of the eastern wall. The Oostzijdse Pakhuizen (Eastside Warehouses), which were built between 1748 and 1759 on the square before the castle , were once part of the defense wall between the castle and bastion Amsterdam.
amh_286c	Batenburg, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1656	1911	https://www.atlasofmutualheritage.nl/en/Batenburg-fort.286c		fort Batenburg;fort Grietenburg;fort Waterplaats	redoubt	300006888	http://www.wikidata.org/entity/Q104534207		POINT(106.81437 -6.142628)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Batenburg-fort.286c	Locality associated with Dutch East India Company. The ships on the roadstead of Batavia and people in the city got their potable water from the Waterplaats (water basin) south of the city at the connection of the Molenvliet and the Ciliwong River. Here the water was not polluted, as it was further downstream in the city. In 1656, the Hoge Regering (Central Government of the VOC) ordered the construction of the redoubt Batenburg to protect the Waterplaats against raids by roaming soldiers from Bantam. After the construction of powder mills near the Molenvliet, the redoubt was used to store the gunpowder. A small military guard protected the site. In 1740 the soldiers beat off an attack of revolting unemployed Chinese land labourers and prevented that they could get the gunpowder. After the revolt the defences and the redoubt were updated and modernized. In 1757 a triangular fort was built to protect the water supply and powder house. It was named Grietenburg after Geertruida Maria Mossel, the daughter of Governor-general Jacob Mossel (1750-1761). The fort was demolished by Governor general Herman Willem Daendels (1808-1911). Today Pasar Glodok stands on the site of the fort. There are no visible remains of fort Batenburg.
amh_123c	Batenstein, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Batenstein-fort.123c		fort Batenstein;Badenstein;Badensteyn	fortification	300006888	http://www.wikidata.org/entity/Q472588		POINT(-1.921191 4.821631)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Batenstein-fort.123c	Locality associated with Dutch West India Company. 
amh_178c	Beekenburg, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1703	1807	https://www.atlasofmutualheritage.nl/en/Beekenburg-fort.178c		fort Beekenburg	fortification	300006888	http://www.wikidata.org/entity/Q5027351		POINT(-68.861938 12.072513)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Beekenburg-fort.178c	Locality associated with Dutch West India Company. - In 1703, to protect the coastline east of Fort Amsterdam and Willemstad, construction of fort Beekenburg, built on a rocky headland on the eastern shore of Caracas Bay, commenced, following the completion in the preceding year of the small battery of <De Uitkijk> (The Lookout) situated a little farther to the south. Beekenburg protected both the bay itself with its various landing places and the narrow tongue of land between Caracas Bay and the Spaanse Water (Spanish Water), along which an enemy who had come ashore further eastwards could approach Willemstad. Partly as the result of a shortage of building materials, the original construction of Beekenburg appears to have taken quite a long time, but once completed, the fort proved to be virtually unassailable. It was not taken during the attack of the French corsair Cassard in 1713, and held out until after the capitulation during the British attacks in 1800 and 1807. Its design consisted of a massive tower with ten gun emplacements, with a lower bastion on the seaward side with another eight cannon.
amh_3c	Beeverwijk, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1618	1817	https://www.atlasofmutualheritage.nl/en/Beeverwijk-fort.3c		fort Beeverwijk;fort Beverwijk;fort Beverwijck	blockhouse	300006888	http://www.wikidata.org/entity/Q104534005		POINT(128.765269 -3.646295)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Beeverwijk-fort.3c	Locality associated with Dutch East India Company. On the small island of Nusa Laut stand the remains of a VOC blockhouse. In 1656 governor Arnold de Vlaming van Oudshoorn (1654-1656) named it after his home town Beverwijk. Twenty soldiers and a sergeant were posted here, who stood under the VOC command in Saparua. This blockhouse was not the first place the VOC had settled on the small island. Already under governor Herman van Speult (1618-1625) a small wooden house had been built on the south coast. For a long time local inhabitants did not resist the VOC presence. Therefore the defences were judged not to be very important and the blockhouse deteriorated. During the uprisings in 1817 however, the three soldiers stationed at fort Beverwijk were murdered and the post was shortly in control of local people. The Dutch quickly retook the post, but did not keep it up for a long time. Today the high walls of the blockhouse still stand and the form of the defence structures can still be recognised in the ruins.
amh_270c	Aan de baai, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Aan-baai-fort.270c		fort Aan de baai;Fort aan de baai	fortification	300006888	http://www.wikidata.org/entity/Q104534194		POINT(-62.96666667 17.46666667)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Aan-baai-fort.270c	Locality associated with Dutch West India Company. 
amh_140c	Aardenburgh, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Aardenburgh-fort.140c		fort Aardenburgh	fortification	300006888	http://www.wikidata.org/entity/Q1408988		POINT(13.223051 -8.807725)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Aardenburgh-fort.140c	Locality associated with Dutch West India Company. 
amh_226c	Adriaensz., fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Adriaensz.-fort.226c		fort Adriaensz.	fortification	300006888				Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Adriaensz.-fort.226c	Locality associated with Dutch West India Company. 
amh_99c	Altingburg, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Altingburg-fort.99c		fort Altingburg	fortification	300006888	http://www.wikidata.org/entity/Q104534073		POINT(101.244892 3.341437)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Altingburg-fort.99c	Locality associated with Dutch East India Company. 
amh_1c	Amersfoort, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Amersfoort-fort.1c		fort Amersfoort	fortification	300006888	http://www.wikidata.org/entity/Q104533993		POINT(128.3 -3.55)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amersfoort-fort.1c	Locality associated with Dutch East India Company. 
amh_113c	Amsterdam, fort (Cormantin)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Kormantijn).113c		fort Amsterdam	fortification	300006888	http://www.wikidata.org/entity/Q478784		POINT(-1.114697 5.182842)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Kormantijn).113c	Locality associated with Dutch West India Company. 
amh_164c	Amsterdam, fort (Curaçao)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1634	1634	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Curacao).164c		fort Amsterdam;fort Punda;fort Willemstad	fortification	300006888	http://www.wikidata.org/entity/Q2424320		POINT(-68.934204 12.104625)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Curacao).164c	Locality associated with Dutch West India Company. - As the regional headquarters of the WIC, Curaçao was the only one of the Dutch Antillean islands to acquire a large fortification, Fort Amsterdam, directly after it was conquered in 1634. settled. Later the fort was repeatedly expanded. In the 18th century, the continual threat of war between the European naval powers led to further plans for the improvement of the defence of the island. Although a great many such drawings and plans survive, very few of them have actually been executed.
amh_2c	Amsterdam, fort (Hila)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600	1869	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Hila).2c		fort Amsterdam;fort Hila;Kasteel van Verre	blockhouse	300006888	http://www.wikidata.org/entity/Q2651405		POINT(128.083173 -3.582671)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Hila).2c	Locality associated with Dutch East India Company. Fort Amsterdam is located on the north Coast of Ambon Island. Here, in 1600 Admiral Steven van der Hagen had overseen the construction of what is considered to have been the first Dutch fort in the Indonesian archipelago named the ´Kasteel van Verre´ (literally translated: Faraway Castle). The establishment of this first fort signalled the beginning of the Dutch take-over of the lucrative spice trade in the region, at the cost of the Portuguese. The remnants of Fort Amsterdam that can still be seen today are from later date. In 1633 VOC merchant Johan Ottens demolished the old trade post in Hila and ordered a stone redoubt encircled by wooden palisades to be built on this site. This construction was heavily damaged by an earthquake in 1644. As ordered by governor Arnold de Vlaming van Oudsthoorn in 1648 works starded repairing and extending the fort. He had the palisades replaced by quadrangular stone ramparts with two bastions and enlarged the redoubt. In 1674 fort Amsterdam was again hit by a strong earthquake, followed by a tsunami. Of the 40 people stationed on the fort 28 perished, while many more people living in the surrounding settlements lost their lives. After this event the fort was repaired. Seventeenth and eighteenth century drawings and engravings give an impression of what the three storey blockhouse would have looked like when it continued to function as a fortification to protect Dutch trade interests. During the Ambon revolt in 1817, Fort Amsterdam was attacked but not conquered. In 1863 it was abandoned by the military, but still the local authorities were instructed to maintain the building so it could be utilized again in the event of a rebellion. In 1869 the fort was officially removed from the list of fortifications. The structure became disused and had fallen in to ruin, until a restoration campaign was setup. The walls have been plastered and painted white, wooden elements have been replaced and the roof has been reconstructed. Since 1994 it has been open to visitors.
amh_281c	Amsterdam, fort (Kaap de Goede Hoop)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Kaap-Goede-Hoop).281c		fort Amsterdam	fortification	300006888				Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Kaap-Goede-Hoop).281c	Locality associated with Dutch East India Company. 
amh_71c	Amsterdam, fort (Manado)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Manado).71c		fort Amsterdam	fortification	300006888	http://www.wikidata.org/entity/Q104534050		POINT(124.9166667 1.533333333)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(Manado).71c	Locality associated with Dutch East India Company. 
amh_154c	Amsterdam, fort (New York)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1625	1790	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(New-York).154c		fort Amsterdam;fort Nieuw-Amsterdam	Fort	300006888	http://www.wikidata.org/entity/Q104534105		POINT(-74.013736 40.704014)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(New-York).154c	Locality associated with Dutch West India Company. Fort Amsterdam was the headquarters of the Dutch West India Company in New Netherland. Located at the southern tip of Manhattan, it controlled access to the Hudson River and was a palpable symbol of the Company's rule over the colony. In April 1625, orders were given to engineer and surveyor Crijn Fredericxsz and others in charge to take up “the construction of the fort, which is to be called Amsterdam.” In 1626, some kind of fortification was apparently in place. The Amsterdam directors had specified the construction of a large five-pointed fortified settlement (a pentagon with a diameter of almost 300 metres), surrounded by an outer moat (ringhsloot) of eight metres wide. Within this area all colonists would have their lodgings, and it would encompass public buildings as well as a central market square of about 28 by 47 metres. These instructions were not fully executed as planned as the bedrock on the location of choice was too close to ground level for a deep ditch to be dug, and elevations made building a fortification of the suggested size an impossible task. It is likely that soon after 1626, director Minuit and his councillors decided to build a much smaller four-pointed fort, which was under construction by 1628 and probably more or less completed by 1635. Enslaved blacks, owned by the West India Company, carried out most of the work. Although the information from 1628 indicates the plan was to build the entire fort in stone, later documentation suggests that only one of the four points was completed that way. The rest of the fort consisted of wooden palisades and earthen bulwarks. As a result, the fort required constant repairs throughout its existence. By the late 1630s the fort was already in a bad state. The war with the Native Americans in the 1640s made clear to the West India Company that an upgrade of the fortifications was in order, but the costs were considered prohibitive by the WIC directors in the Netherlands. As a consequence much of the expenses and labour to keep the fort in a reasonable condition had to be supplied by the colonial government in New Netherland. This was not an easy task. The West India Company soldiers argued that construction work was not part of their brief and refused to undertake it, unless separate compensation was forthcoming. In all likelihood Company slaves carried out the bulk of the work, assisted by convicts sentenced to hard labour. The colonial government also attempted to raise funds from the local community. Within a few months of his arrival in New Amsterdam 1647, Director General Petrus Stuyvesant introduced a new excise on wine, brandy, and liquors. The income was intended to defray the costs of several public buildings, including the fort. In 1647, Stuyvesant planned to improve the fort, but nothing came of the plans. Meanwhile, the fort suffered from hogs, sheep, goats, horses, and cows, which the colonists allowed to roam free on the ramparts. In June 1650, director general and council tried to keep animals away by threatening to fine their owners. Yet the multiple repeats of this edict suggest that little heed was paid. When the First Anglo-Dutch War broke out, the directors quickly ordered their man in New Amsterdam to put Fort Amsterdam, Fort Orange, and Fort Casimir, in proper defensive states, so as to be able to defend themselves against attacks from the surrounding English colonies. Director general and council thereupon took various defensive measures, for instance “repairing and strengthening the fort, the old moat be dug up and fortified with gabions.” They also planned “to build some new inner lines of fortifications, so that one can be protected by the other and, if necessary, we can retreat from one to the other.” Whether all these plans were actually carried out is unclear, as soon afterwards, just when an English attack appeared imminent, news of peace in Europe arrived. By 1656, new repairs to the fort were considered necessary. At the repeated request of Stuyvesant and his council, the Amsterdam directors recruited three masons “to expedite the walling in of the fort” and sent them over to New Amsterdam. Soon after their arrival they began complaining that their salary of fourteen guilders a month was not sufficient. After their wages were raised, work progressed steadily. In July 1659, Stuyvesant reported to Amsterdam that if the masons kept up their work, one end of the fort would be ready next summer. The next task would be to make carriages for the guns. Stuyvesant informed the directors that these could be made in the colony, except for the iron parts, which had to be imported from the Dutch Republic. The building works appear to have been completed in 1661. Despite the efforts of Stuyvesant, Fort Amsterdam was in a bad state when the English arrived in 1664. After taking over New Netherland in that year, they changed the name of Fort Amsterdam into Fort James, after the Duke of York. It was eventually demolished in the summer of 1790. The debris was used as landfill. Today, the Alexander Hamilton U.S. Custom house stands on the location.
amh_272c	Amsterdam, fort (St. Eustatius)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(St.-Eustatius).272c		fort Amsterdam;Waterfort	fortification	300006888	http://www.wikidata.org/entity/Q104534503		POINT(-62.992575 17.486185)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(St.-Eustatius).272c	Locality associated with Dutch West India Company. 
amh_180c	Amsterdam, fort (St. Maarten)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(St.-Maarten).180c		fort Amsterdam	fortification	300006888	http://www.wikidata.org/entity/Q104534481		POINT(-63.059528 18.014832)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amsterdam-fort-(St.-Maarten).180c	Locality associated with Dutch West India Company. 
amh_101c	Amsterdam, pakhuis (Bangkok)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Amsterdam-pakhuis-Bangkok.101c		pakhuis Amsterdam	fortification	300006888	http://www.wikidata.org/entity/Q104534074		POINT(100.5 13.73333333)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Amsterdam-pakhuis-Bangkok.101c	Locality associated with Dutch East India Company. 
amh_260c	Andries, fort	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	1600		https://www.atlasofmutualheritage.nl/en/Andries-fort.260c		fort Andries;fort St. Andries	fortification	300006888	http://www.wikidata.org/entity/Q104534189		POINT(-57.51666667 6.266666667)	Atlas of Mutual Heritage (https://www.atlasofmutualheritage.nl)	https://www.atlasofmutualheritage.nl/en/Andries-fort.260c	Locality associated with Dutch West India Company. 
